About_Topic,Question,Answers,URL
about_Profile,What is a Profile Script?,A script that runs when PowerShell starts;A command that imports a module;A conditional operating script;A type of string operator',https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#long-description
about_Profile,How many Profile Files exist by default?,4;3;5;None,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#the-profile-files
about_Profile,What variables do the profile paths include?,$PSHome and $Home;$Home and $PSCommandPath;$PSSessionConfiguration and $PSHome;$PSEdition and $Host,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#the-profile-files
about_Profile,What PowerShell.exe parameter will start PowerShell without using a profile script?,-NoProfile;-Profile:$false;-Verbose;-Pass,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#the-noprofile-parameter
about_Profile,How do you return a complete list of the PowerShell.exe parameters?,PowerShell -? OR pwsh -?;PowerShell /help OR pwsh /help;PowerShell /? OR pwsh /?;PowerShell /plist OR pwsh /plist,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#the-noprofile-parameter
about_Profile,What session-specific commands and items does not be added using a profile script?,Set-ExecutionPolicy command;Variables;Preference variables;Aliases,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#how-to-use-a-profile
about_Profile,PowerShell profiles are automatically run in remote sessions?,false;true,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#profiles-and-remote-sessions
about_Profile,While commands can be added to a PowerShell session using profiles, the default prompt cannot be modified without using a prompt function?,true;false,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles#add-a-customized-powershell-prompt
about_Profile,Only profiles for the CurrentUser cane be set using the $PROFILE variable?,-false;-true,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_profiles?#the-profile-variable
about_Profile,All the $PROFILE values are paths to .ps1 files. Which file exists by default?,None,CurrentUserCurrentHost,CurrentUserAllHosts,AllUsersAllHosts
